Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (kgf/W),App message
20.470015,1838.4685,,,,1.463507127,0,0.065179556,0,0,0,0,
20.57672,1826.4435,,,,1.463507127,0,0.064284153,0,0,0,0,
20.697405,1813.476,,,,1.430542013,0,0.063162306,0,0,0,0,
20.803915,1802.8405,,,,1.391047435,0,0.062281666,0,0,0,0,
20.96973,1788.181,,,,1.348802087,0,0.060141622,0,0,0,0,
21.135105,1769.4555,,,,1.294875,0,0.060118363,0,0,0,0,
21.23503,1760.114,,,,1.268976176,0,0.057188452,0,0,0,0,
21.30855,1751.5245,,,,1.268976176,0,0.059413604,0,0,0,0,
21.345625,1749.3535,,,,1.268976176,0,0.059379497,0,0,0,0,
21.491225,1735.399,,,,1.231028186,0,0.062624275,0,0,0,0,
21.597505,1723.984,,,,1.199466503,0,0.05943585,0,0,0,0,
21.699935,1715.166,,,,1.163757736,0,0.058888601,0,0,0,0,
21.81484,1702.861,,,,1.163757736,0,0.059786491,0,0,0,0,
21.94164,1688.3265,,,,1.136653733,0,0.05938716,0,0,0,0,
22.007745,1680.81,,,,1.114075331,0,0.060352769,0,0,0,0,
22.08233,1675.0675,,,,1.114075331,0,0.064345688,0,0,0,0,
22.144305,1669.2845,,,,1.090764154,0,0.06206923,0,0,0,0,
22.265955,1657.311,,,,1.090764154,0,0.060102858,0,0,0,0,
22.365225,1645.1785,,,,1.064858409,0,0.059920994,0,0,0,0,
22.43847,1643.9535,,,,1.046376389,0,0.063607867,0,0,0,0,
22.53287,1631.078,,,,1.046376389,0,0.062936419,0,0,0,0,
22.69302,1615.638,,,,1.025717335,0,0.060240719,0,0,0,0,
22.760905,1605.904,,,,1.008136522,0,0.062043272,0,0,0,0,
22.89054,1596.3505,,,,0.984594032,0,0.065841131,0,0,0,0,
23.01724,1586.703,,,,0.967108689,0,0.063470885,0,0,0,0,
23.153705,1574.2155,,,,0.967108689,0,0.063138905,0,0,0,0,
23.331895,1550.488,,,,0.927659739,0,0.065444225,0,0,0,0,
23.40266,1543.4745,,,,0.927659739,0,0.067431014,0,0,0,0,
23.50767,1535.5685,,,,0.907105817,0,0.065468862,0,0,0,0,
23.6572,1517.9065,,,,0.888012976,0,0.06404073,0,0,0,0,
23.72119,1511.614,,,,0.888012976,0,0.062273552,0,0,0,0,
23.83516,1500.901,,,,0.858237811,0,0.063104948,0,0,0,0,
23.93384,1488.707,,,,0.839993245,0,0.064856225,0,0,0,0,
24.010415,1482.51,,,,0.839993245,0,0.062150831,0,0,0,0,
24.108675,1474.115,,,,0.814451869,0,0.063393018,0,0,0,0,
24.222035,1462.165,,,,0.788101081,0,0.063822787,0,0,0,0,
24.3155,1453.0105,,,,0.788101081,0,0.0632559,0,0,0,0,
24.42627,1441.8545,,,,0.758657099,0,0.063876224,0,0,0,0,
24.498095,1433.5225,,,,0.758657099,0,0.063714284,0,0,0,0,
24.60267,1423.458,,,,0.73449452,0,0.061484338,0,0,0,0,
24.742745,1412.3345,,,,0.708899244,0,0.062945779,0,0,0,0,
