Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (kgf/W),App message,
2.1098100000005213,1066,,,,,0,0.060430893552675946,0,0,0,,,
2.149875,1066,,,,-0.00422469832543771,0,0.06086412606023056,0,0,0,0,,
2.188445000000298,1066,,,,,0,0.06067224574412952,0,0,0,,,
2.2318600000003355,1066,,,,,0,0.06336977436556267,0,0,0,,,
2.2713300000000745,1066,,,,-0.004229901255817553,0,0.06527695377071932,0,0,0,0,,
2.3231400000001305,1066,,,,,0,0.06413384166641661,0,0,0,,,
2.370220000000205,1066,,,,,0,0.06114967654428938,0,0,0,,,
2.4142850000001492,1066,,,,-0.004232593238957496,0,0.06200838873101629,0,0,0,0,,
2.4670849999999627,1079,,,,,0,0.0648259992135567,0,0,0,,,
2.5098950000000184,1104,,,,,0,0.06143785311065022,0,0,0,,,
2.5475500000002795,1110,,,,-0.004233704763588453,0,0.06002081714188612,0,0,0,0,,
2.583614999999758,1110,,,,,0,0.06058972140641001,0,0,0,,,
2.629625,1110,,,,,0,0.06298832352777473,0,0,0,,,
2.669090000000317,1110,,,,,0,0.05994799396310356,0,0,0,,,
2.706904999999795,1116,,,,-0.004128523644133698,0,0.05852040968993104,0,0,0,0,,
2.7616299999998883,1116,,,,,0,0.06296772050422342,0,0,0,,,
2.7965900000003168,1123,,,,,0,0.06208398335169851,0,0,0,,,
2.84208000000054,1148,,,,,0,0.06189863970085385,0,0,0,,,
2.886420000000391,1173,,,,-0.004084368496191875,0,0.060012756339293954,0,0,0,0,,
2.911870000000112,1179,,,,,0,0.059802979827876274,0,0,0,,,
2.9521800000001677,1179,,,,,0,0.05904460363918659,0,0,0,,,
2.990875,1179,,,,,0,0.059439616627067704,0,0,0,,,
3.0414950000005776,1179,,,,-0.0035434233226086867,0,0.060972685880134395,0,0,0,0,,
3.0785950000002047,1179,,,,,0,0.06236763812335715,0,0,0,,,
3.133875,1179,,,,,0,0.06453162961069103,0,0,0,,,
3.163005000000354,1179,,,,-0.0033537152299307855,0,0.06433904893581611,0,0,0,0,,
3.209645000000484,1154,,,,,0,0.0641660693716602,0,0,0,,,
3.2623100000000558,1123,,,,,0,0.0628104954887678,0,0,0,,,
3.304774999999907,1123,,,,-0.0003637281121804597,0,0.06130869084415484,0,0,0,0,,
3.346380000000354,1123,,,,,0,0.06150275080984116,0,0,0,,,
3.3875449999999256,1123,,,,,0,0.061827567248841926,0,0,0,,,
3.432485000000335,1123,,,,,0,0.062246679040163753,0,0,0,,,
3.4839249999998136,1148,,,,0.010838789608908347,0,0.0625847921484624,0,0,0,0,,
3.598625,1223,,,,,0,0.06343073002397637,0,0,0,,,
3.640439999999944,1223,,,,0.021394566430905385,0,0.062484802809890244,0,0,0,0,,
3.6815800000005403,1223,,,,,0,0.06399973824283439,0,0,0,,,
3.7248600000003353,1223,,,,,0,0.06239954818320787,0,0,0,,,
3.7616299999998883,1223,,,,0.026827539316966,0,0.06135566977326336,0,0,0,0,,
3.787334999999963,1223,,,,,0,0.06103376761453354,0,0,0,,,
3.8194550000000747,1223,,,,,0,0.059531956242201825,0,0,0,,,
